dataset,season,row_count,generated_at_utc
pbp,2010,2727299,2026-08-12 08:01:43 UTC
pbp,2011,2584703,2026-08-12 07:46:42 UTC
pbp,2012,2568916,2026-08-12 07:29:38 UTC
pbp,2013,2591170,2026-08-12 07:12:47 UTC
pbp,2014,2697099,2026-08-12 06:55:24 UTC
pbp,2015,2623252,2026-08-12 06:39:19 UTC
pbp,2016,2712683,2026-08-12 06:01:01 UTC
pbp,2017,2699766,2026-08-12 05:42:57 UTC
pbp,2018,2663992,2026-08-12 05:24:38 UTC
pbp,2019,2752107,2026-08-12 05:07:48 UTC
pbp,2020,2726273,2026-08-12 04:50:25 UTC
pbp,2021,2026276,2026-08-12 04:36:40 UTC
pbp,2022,2799512,2026-08-12 04:18:55 UTC
pbp,2023,2927449,2026-08-12 04:00:39 UTC
pbp,2024,2981151,2026-08-12 03:40:23 UTC
pbp,2025,3019827,2026-08-12 03:19:29 UTC
pbp,2026,3075470,2026-08-12 02:58:44 UTC
