dataset,season,row_count,generated_at_utc
player_box,2010,28116,2026-08-12 08:04:14 UTC
player_box,2011,117226,2026-08-12 07:50:57 UTC
player_box,2012,117542,2026-08-12 07:34:33 UTC
player_box,2013,117739,2026-08-12 07:17:17 UTC
player_box,2014,122298,2026-08-12 06:59:50 UTC
player_box,2015,121605,2026-08-12 06:43:01 UTC
player_box,2016,122382,2026-08-12 06:04:29 UTC
player_box,2017,122967,2026-08-12 05:48:25 UTC
player_box,2018,121636,2026-08-12 05:28:59 UTC
player_box,2019,121053,2026-08-12 05:11:54 UTC
player_box,2020,115581,2026-08-12 04:54:19 UTC
player_box,2021,86718,2026-08-12 04:40:07 UTC
player_box,2022,120383,2026-08-12 04:23:59 UTC
player_box,2023,125371,2026-08-12 04:05:39 UTC
player_box,2024,125973,2026-08-12 03:45:30 UTC
player_box,2025,127466,2026-08-12 03:25:32 UTC
player_box,2026,127465,2026-08-12 03:03:50 UTC
